W-L,pythW-L,R,RA,BatAge,PAge,#Bat,#P,ttlsalary,YPN2,YPN3,YPN4,YPN5,YPN6,AB,H,2b,3b,hr,bb,so,sb,cs,hbp,sf,ER,ERA,CG,SHO,SV,IPOuts,HA,HRA,BBA,SOA,E,DP,FP,attendance,YearP1W
0.488,0.503,656,652,28.4,29.5,47,20,134422942,0.432,0.549,0.543,0.599,0.512,5465,1361,266,40,128,502,1095,130,44,46,57,597,3.73,8,19,36,4359,1438,135,545,1106,96,160,0.98,2559738,0.475
0.58,0.569,781,671,28.5,28.6,42,21,97559166,0.534,0.54,0.488,0.593,0.512,5568,1521,318,41,142,559,967,68,28,39,53,638,3.95,9,13,40,4358,1493,155,383,1048,94,149,0.98,3223640,0.389
0.475,0.468,750,804,27.8,29.2,43,25,81108278,0.494,0.556,0.512,0.463,0.5,5606,1471,293,33,182,546,1216,81,26,81,35,733,4.59,3,7,35,4317,1487,173,582,1258,115,141,0.98,2776531,0.593
0.494,0.483,667,692,30.2,28.1,49,24,95358016,0.586,0.519,0.506,0.543,0.438,5426,1368,270,29,120,533,1184,92,50,46,50,643,4.01,4,16,41,4325,1323,134,539,1274,114,122,0.98,3562320,0.509
0.414,0.399,676,845,28.8,27.5,46,25,71405210,0.401,0.463,0.426,0.383,0.346,5604,1534,279,31,121,471,905,115,50,35,53,794,4.97,7,3,44,4310,1553,176,551,1035,138,138,0.98,1615324,0.438
0.469,0.42,611,729,29.5,29.6,48,25,92355500,0.457,0.534,0.451,0.506,0.549,5452,1348,252,25,108,415,1025,100,36,33,29,654,4.09,4,11,45,4318,1446,140,548,1210,118,135,0.98,2331490,0.346
0.494,0.501,719,717,26.9,27.1,57,31,57029719,0.537,0.522,0.438,0.481,0.512,5531,1403,294,37,152,514,1375,92,26,55,43,652,4.09,5,17,39,4315,1433,134,549,1168,141,130,0.98,1535226,0.444
0.5,0.505,751,743,28.8,26.5,41,20,122864928,0.528,0.457,0.543,0.586,0.438,5643,1515,308,32,152,546,1147,69,30,41,41,690,4.3,6,5,32,4333,1445,142,537,1056,136,171,0.98,2461237,0.586
0.512,0.533,770,717,28.8,28.1,43,23,84227000,0.568,0.457,0.552,0.469,0.414,5530,1452,270,54,173,585,1274,99,42,47,47,663,4.14,6,12,35,4326,1405,139,525,1234,113,182,0.98,2875245,0.451
0.426,0.431,646,752,27.2,26.6,45,22,61203966,0.401,0.5,0.593,0.481,0.574,5487,1362,290,20,128,545,1184,91,33,64,33,684,4.3,10,4,34,4299,1477,147,572,967,126,179,0.98,1394812,0.494
0.562,0.565,790,685,29,28.2,44,23,71761542,0.481,0.457,0.444,0.494,0.451,5579,1515,293,30,188,522,1218,93,43,68,50,648,4.02,4,9,43,4359,1404,158,524,1130,86,140,0.98,2060550,0.488
0.543,0.53,752,704,30.6,29,40,20,105530000,0.488,0.546,0.444,0.556,0.611,5484,1467,263,21,177,467,922,160,74,79,38,658,4.09,6,11,43,4339,1471,136,490,1149,120,157,0.98,2194378,0.488
0.463,0.448,685,767,29.4,28.2,44,23,146609000,0.516,0.602,0.525,0.407,0.488,5512,1414,298,27,149,479,1236,55,31,50,38,668,4.24,1,14,40,4310,1409,154,605,1268,144,135,0.98,3062973,0.438
