W-L,pythW-L,R,RA,BatAge,PAge,#Bat,#P,ttlsalary,YPN2,YPN3,YPN4,YPN5,YPN6,AB,H,2b,3b,hr,bb,so,sb,cs,hbp,sf,ER,ERA,CG,SHO,SV,IPOuts,HA,HRA,BBA,SOA,E,DP,FP,attendance,YearP1W
0.488,0.524,849,805,27.5,29.4,45,26,90156876,0.556,0.593,0.623,0.631,0.543,5583,1510,312,26,222,526,1169,52,35,52,44,736,4.6,6,6,38,4324,1529,183,572,1049,99,146,0.98,2550524,0.519
0.469,0.491,773,788,29.6,28.8,45,25,59684226,0.475,0.315,0.519,0.605,0.568,5645,1506,331,38,160,504,965,76,30,67,53,727,4.48,8,9,34,4379,1503,168,536,1115,104,172,0.98,2091685,0.556
0.549,0.521,766,732,28.8,27.9,40,18,103472000,0.586,0.568,0.475,0.611,0.463,5609,1539,309,29,159,486,914,148,57,42,53,652,4.04,5,12,50,4358,1410,158,471,1164,124,154,0.97,3406790,0.58
0.5,0.476,639,673,29.3,28.9,55,25,48581500,0.414,0.512,0.512,0.42,0.414,5426,1367,311,32,117,491,1090,45,45,89,45,627,3.87,4,9,51,4374,1456,140,539,997,92,156,0.98,2731993,0.438
0.494,0.543,775,705,28,28.2,37,18,45719500,0.416,0.531,0.481,0.494,0.512,5581,1480,307,39,136,486,955,72,35,89,56,653,4.06,9,8,35,4341,1475,185,444,958,95,154,0.98,2014995,0.537
0.488,0.504,865,858,28.1,30.5,50,30,55849000,0.549,0.438,0.444,0.451,0.438,5716,1528,311,29,260,495,1112,67,15,48,32,794,4.96,2,6,46,4320,1589,159,522,932,108,149,0.98,2525221,0.494
0.414,0.4,750,936,27.5,27.4,43,21,29679067,0.435,0.389,0.342,0.383,0.429,5552,1519,289,40,157,412,990,151,49,69,51,851,5.39,1,4,43,4265,1570,194,615,949,124,139,0.97,1141669,0.377
0.617,0.608,805,634,30.8,29.7,40,20,92106833,0.648,0.525,0.599,0.574,0.586,5538,1494,287,26,170,534,947,83,36,62,35,560,3.49,15,14,48,4337,1399,153,443,974,100,196,0.98,3538988,0.516
0.463,0.437,649,745,32.2,30,50,24,90199500,0.562,0.621,0.59,0.556,0.599,5462,1427,299,26,128,431,901,71,35,49,44,695,4.33,4,8,46,4333,1456,151,592,972,90,146,0.98,3181023,0.472
0.426,0.467,699,751,28.9,31.4,48,21,87754334,0.389,0.574,0.574,0.716,0.562,5507,1408,289,34,130,466,986,102,47,48,37,712,4.49,6,7,39,4283,1483,179,496,892,86,144,0.98,2725459,0.481
0.506,0.473,684,726,31.1,31,46,23,63290833,0.537,0.395,0.407,0.488,0.469,5502,1416,269,39,130,600,977,99,44,49,48,668,4.13,4,8,45,4366,1452,146,503,1133,109,136,0.98,2869787,0.543
0.414,0.444,680,769,27.4,28.7,44,19,38133000,0.447,0.463,0.447,0.383,0.426,5573,1445,292,38,139,471,1092,73,30,72,49,706,4.42,4,14,35,4308,1456,162,612,958,117,193,0.98,1817245,0.414
0.543,0.548,807,726,30,29.7,40,19,95522000,0.531,0.531,0.497,0.531,0.401,5542,1494,282,35,167,639,1083,116,27,56,46,672,4.21,4,6,40,4305,1379,189,487,1159,90,132,0.98,2665304,0.525
0.543,0.573,772,658,28.6,26.6,41,20,55425762,0.562,0.593,0.636,0.63,0.565,5627,1476,310,20,155,537,819,31,22,52,40,594,3.69,9,12,38,4351,1315,154,504,1075,88,166,0.98,2109118,0.574
0.586,0.553,886,789,32.4,34.2,51,28,208306817,0.623,0.623,0.64,0.594,0.54,5624,1552,259,16,229,637,989,84,27,73,43,718,4.52,8,14,46,4292,1495,164,463,985,95,151,0.98,4090696,0.599
0.512,0.549,722,648,28.8,31.9,42,22,101305821,0.438,0.41,0.466,0.506,0.58,5505,1421,279,32,175,486,1075,153,40,48,38,599,3.76,8,11,38,4307,1390,135,491,1012,106,146,0.98,2829929,0.599
0.512,0.518,688,662,27.6,27.9,37,15,56186000,0.568,0.556,0.584,0.525,0.426,5564,1441,269,32,134,485,978,102,44,59,42,604,3.71,9,8,44,4393,1458,169,348,965,102,171,0.98,2034243,0.593
0.5,0.519,726,697,28.4,28,39,19,39934833,0.416,0.42,0.346,0.42,0.451,5448,1413,327,19,175,531,1162,79,34,73,38,635,3.97,7,6,46,4314,1382,169,569,1173,119,139,0.98,2211023,0.463
0.438,0.456,685,755,28.7,28.5,44,20,83039000,0.574,0.525,0.568,0.531,0.531,5433,1374,284,21,149,541,1094,58,35,67,33,695,4.38,6,9,40,4282,1434,182,471,1004,106,141,0.98,3603646,0.543
0.346,0.371,701,935,27.9,25.7,46,22,36881000,0.358,0.512,0.383,0.401,0.475,5503,1445,289,34,126,424,1008,53,33,63,50,862,5.49,4,4,25,4240,1640,178,580,924,125,163,0.97,1371181,0.383
0.549,0.559,693,609,30.3,30.3,36,17,76779000,0.568,0.537,0.519,0.574,0.444,5462,1400,281,32,161,481,1037,115,44,72,42,563,3.51,6,11,45,4329,1336,155,440,1164,89,146,0.98,2804760,0.506
0.512,0.491,717,732,29.7,29.5,47,27,60408834,0.512,0.562,0.488,0.469,0.491,5502,1499,306,32,128,512,918,96,38,67,50,666,4.16,14,15,42,4327,1459,116,563,1125,103,177,0.98,1852608,0.481
0.438,0.461,723,787,28.5,28,45,23,69092000,0.444,0.265,0.342,0.407,0.488,5602,1521,283,45,168,384,1038,66,28,53,52,719,4.51,7,2,37,4307,1504,193,461,907,110,171,0.98,2024431,0.586
0.414,0.431,740,862,27.2,27.3,54,27,47839000,0.42,0.457,0.451,0.451,0.506,5542,1477,280,34,150,509,1103,65,32,64,34,808,5.13,4,4,37,4256,1600,175,604,981,118,158,0.98,1914389,0.469
0.574,0.594,790,642,27.7,29.2,38,17,41502500,0.494,0.42,0.457,0.562,0.556,5609,1522,337,30,207,503,1093,62,36,54,50,582,3.61,6,10,51,4358,1363,157,413,1050,106,156,0.98,2013763,0.481
0.451,0.463,820,889,28.6,28.9,46,22,61892583,0.469,0.426,0.481,0.407,0.525,5565,1453,335,15,222,611,1303,72,23,62,39,820,5.15,2,1,31,4299,1657,219,492,955,104,133,0.98,1943067,0.494
0.611,0.563,741,645,29.3,29.3,38,17,75178000,0.512,0.531,0.5,0.512,0.586,5529,1450,253,23,200,435,1002,137,67,79,49,592,3.61,9,10,54,4427,1392,167,459,1040,94,166,0.98,2342833,0.556
0.488,0.493,703,714,29.7,28.2,46,22,87032933,0.549,0.543,0.414,0.543,0.401,5584,1506,323,23,194,419,920,65,39,50,37,671,4.19,8,10,39,4320,1357,186,576,1256,101,136,0.98,3099992,0.407
0.586,0.556,910,805,31.5,33.6,52,26,123505125,0.605,0.586,0.574,0.509,0.525,5626,1579,339,21,199,653,1044,45,12,47,63,752,4.74,6,8,38,4287,1550,164,440,959,109,135,0.98,2847888,0.531
0.457,0.458,729,800,31.3,28.3,46,20,73914333,0.481,0.438,0.414,0.391,0.457,5551,1492,296,27,189,447,902,83,37,54,42,724,4.56,2,9,38,4283,1458,180,580,1052,107,154,0.98,2624740,0.432
0.556,0.56,769,674,28.1,28.6,45,26,86457302,0.593,0.623,0.631,0.543,0.586,5486,1453,308,37,184,534,1084,92,32,45,46,639,3.98,8,12,38,4331,1487,145,520,929,86,170,0.98,2521167,0.488
0.475,0.406,696,856,30.3,27.4,43,25,62329166,0.315,0.519,0.605,0.568,0.525,5550,1419,291,27,191,606,1094,67,26,55,45,783,4.84,6,10,45,4369,1580,193,537,1038,94,159,0.98,2059424,0.469
0.586,0.576,761,643,29.7,28.5,40,18,94867822,0.568,0.475,0.611,0.463,0.506,5624,1520,278,30,147,447,848,161,57,29,39,598,3.68,7,11,54,4393,1419,158,443,1126,87,139,0.98,3404686,0.549
0.414,0.413,635,769,27.5,26.5,46,22,40897500,0.512,0.512,0.42,0.414,0.42,5474,1361,276,27,151,496,925,109,38,35,33,696,4.33,11,11,31,4341,1477,191,582,1032,99,171,0.98,749550,0.5
0.416,0.439,719,823,28,28.6,47,25,50017000,0.531,0.481,0.494,0.512,0.519,5531,1438,290,34,145,513,1083,58,31,71,42,775,4.91,6,11,37,4263,1505,181,608,956,91,150,0.98,1900041,0.494
0.549,0.536,860,794,27.9,30.6,52,30,55050417,0.438,0.444,0.451,0.438,0.586,5615,1492,323,34,227,500,1099,69,36,61,57,724,4.53,5,9,52,4319,1536,182,547,979,117,152,0.98,2513685,0.488
0.435,0.425,714,842,28.1,27.5,48,24,29556667,0.389,0.342,0.383,0.429,0.426,5483,1416,278,46,145,469,944,132,42,55,56,757,4.81,3,5,35,4251,1459,192,580,923,119,139,0.98,1274911,0.414
0.648,0.617,855,659,30.6,30.1,37,20,83228333,0.525,0.599,0.574,0.586,0.466,5555,1544,319,24,214,548,1085,111,47,51,70,605,3.75,4,12,57,4361,1378,169,440,1041,97,154,0.98,3048427,0.617
0.562,0.545,850,770,31.6,30.1,43,22,82019166,0.621,0.59,0.556,0.599,0.531,5546,1500,314,33,183,705,874,43,23,72,51,695,4.29,8,8,46,4371,1481,161,548,1020,101,153,0.98,3256854,0.463
0.389,0.425,698,823,31.5,30.4,48,23,81515834,0.574,0.574,0.716,0.562,0.488,5722,1544,276,20,136,492,1058,110,42,54,48,772,4.76,7,7,28,4378,1498,212,575,1036,103,140,0.98,2940731,0.426
0.537,0.539,768,705,29.6,30,47,24,55384833,0.395,0.407,0.488,0.469,0.457,5573,1521,304,32,139,566,910,52,25,56,66,645,4.03,3,8,44,4323,1460,184,422,1079,108,146,0.98,3016752,0.506
0.447,0.459,680,744,27.2,27.7,43,22,32227929,0.463,0.447,0.383,0.426,0.484,5483,1428,267,39,142,415,1066,63,40,95,42,680,4.29,3,8,46,4284,1451,149,576,1079,103,189,0.98,1580031,0.414
0.531,0.533,840,781,29.3,29.8,39,21,92919167,0.531,0.497,0.531,0.401,0.475,5643,1505,303,23,215,645,1133,100,27,58,46,724,4.45,4,5,43,4388,1488,214,502,1070,81,142,0.98,3250092,0.543
0.562,0.53,793,742,29.6,28.4,36,17,59425667,0.593,0.636,0.63,0.565,0.537,5728,1545,336,15,189,608,1061,47,22,55,43,682,4.17,10,8,35,4414,1466,164,544,1034,91,172,0.98,2201516,0.543
0.623,0.548,897,808,32.3,32.9,43,23,184193950,0.623,0.64,0.594,0.54,0.605,5527,1483,281,20,242,670,982,84,33,80,50,752,4.69,1,5,59,4331,1532,182,445,1058,99,148,0.98,3775292,0.586
0.438,0.47,684,731,29.8,32.5,52,26,96660970,0.41,0.466,0.506,0.58,0.595,5532,1376,289,20,185,512,1159,107,23,61,34,658,4.09,2,6,31,4347,1452,156,592,977,137,144,0.97,2318951,0.512
0.568,0.54,780,715,27.9,28.2,42,18,53585000,0.556,0.584,0.525,0.426,0.394,5623,1494,310,24,191,513,982,116,46,64,40,661,4.03,4,9,48,4428,1523,167,431,1123,101,158,0.98,1911490,0.512
0.416,0.42,634,757,28.5,27.2,41,22,27528500,0.42,0.346,0.42,0.451,0.46,5483,1358,295,32,135,540,1312,138,40,68,40,679,4.24,6,10,42,4326,1440,164,476,1098,117,132,0.98,2062382,0.5
0.574,0.549,761,684,28.9,29.5,43,22,92902001,0.525,0.568,0.531,0.531,0.475,5542,1450,226,30,203,536,1092,102,41,62,35,647,4.01,2,6,51,4360,1386,178,521,1066,73,145,0.98,3488283,0.438
0.358,0.397,720,905,28.9,27.4,58,25,47609000,0.512,0.383,0.401,0.475,0.398,5538,1432,261,29,150,461,1057,67,48,76,38,813,5.15,6,3,25,4261,1638,208,518,887,131,169,0.97,1661478,0.346
0.568,0.564,803,698,31.7,29.6,42,23,75397000,0.537,0.519,0.574,0.444,0.599,5468,1458,294,36,187,590,999,89,30,61,52,650,4.05,2,13,47,4329,1416,174,525,1282,101,136,0.98,3087872,0.549
0.512,0.512,718,700,28.8,27.8,45,25,42143042,0.562,0.488,0.469,0.491,0.395,5486,1447,275,32,148,499,968,96,43,58,40,655,4.1,6,14,53,4317,1395,166,513,1116,86,153,0.98,1723105,0.512
0.444,0.491,827,844,28.2,27.5,39,18,46832000,0.265,0.342,0.407,0.488,0.429,5623,1531,284,54,201,518,1144,86,50,50,43,788,4.93,7,9,35,4319,1542,190,530,995,144,160,0.97,1917004,0.438
0.42,0.453,833,923,30.4,28.8,47,25,65445167,0.457,0.451,0.451,0.506,0.444,5577,1531,331,34,202,568,1181,44,33,54,37,883,5.54,3,2,36,4306,1634,198,697,947,89,161,0.98,2338069,0.414
0.494,0.501,858,857,28.6,27.3,52,30,34319300,0.42,0.457,0.562,0.556,0.599,5676,1565,345,29,184,606,1009,94,55,78,42,784,4.81,8,8,32,4400,1553,201,579,1115,106,152,0.98,1814401,0.574
0.469,0.414,750,907,28.4,28.5,44,22,46615250,0.426,0.481,0.407,0.525,0.589,5518,1380,287,28,194,599,1335,77,25,81,25,832,5.19,5,8,47,4331,1595,236,572,992,113,123,0.98,2287250,0.451
0.512,0.518,865,831,28.6,28.2,42,22,65212500,0.531,0.5,0.512,0.586,0.466,5534,1481,284,19,242,499,1030,78,51,63,42,782,4.91,8,8,34,4297,1505,224,527,1013,100,167,0.98,1930537,0.611
0.549,0.578,789,665,30.1,29.1,43,19,90560000,0.543,0.414,0.543,0.401,0.414,5628,1508,308,29,235,489,1080,66,28,38,48,621,3.81,3,6,42,4396,1363,169,545,1346,86,126,0.98,3170154,0.488
0.605,0.596,949,768,30.6,32.5,50,26,127298500,0.586,0.574,0.509,0.525,0.58,5720,1613,373,25,222,659,1189,68,30,69,55,674,4.18,4,12,36,4354,1430,159,447,1132,118,129,0.98,2837294,0.586
0.481,0.507,842,830,30.4,27.4,47,22,51623333,0.438,0.414,0.391,0.457,0.481,5736,1614,319,18,169,528,949,101,41,57,62,760,4.7,8,10,27,4366,1488,159,687,1090,110,161,0.98,2744018,0.457
0.593,0.583,803,668,28.9,30.1,39,21,90182500,0.623,0.631,0.543,0.586,0.636,5570,1503,304,37,178,587,1158,86,32,59,48,603,3.74,4,13,48,4350,1475,154,523,1025,116,171,0.98,2327565,0.556
0.315,0.333,615,899,28.9,29.3,52,25,69780750,0.519,0.605,0.568,0.525,0.617,5544,1401,295,38,135,441,1022,53,32,35,37,794,4.98,5,6,33,4308,1480,197,668,1153,139,144,0.97,2519560,0.475
0.568,0.559,836,734,28.9,29,38,16,100534667,0.475,0.611,0.463,0.506,0.432,5675,1603,272,37,162,450,942,143,46,73,41,692,4.28,2,11,50,4363,1476,170,502,1164,90,126,0.98,3375677,0.586
0.512,0.497,711,716,27.7,26.7,43,25,51948500,0.512,0.42,0.414,0.42,0.401,5437,1404,294,25,144,522,990,100,39,45,40,640,4.01,15,10,42,4313,1467,181,463,1028,102,152,0.98,1025639,0.414
0.531,0.536,894,826,28.4,29,40,22,51269000,0.481,0.494,0.512,0.519,0.543,5661,1580,357,33,190,546,1081,37,25,90,56,748,4.69,14,6,36,4305,1560,184,485,984,117,161,0.98,1799458,0.416
0.438,0.427,826,969,28.4,28.1,52,27,103491667,0.444,0.451,0.438,0.586,0.543,5664,1506,274,36,239,488,1052,65,25,75,42,903,5.67,4,3,43,4300,1625,208,603,1009,94,168,0.98,2094394,0.549
0.389,0.42,715,852,26.4,26.4,51,24,19630000,0.342,0.383,0.429,0.426,0.389,5654,1501,298,38,137,420,1030,142,42,56,50,787,4.93,7,7,30,4310,1454,196,639,877,103,158,0.98,1058695,0.435
0.525,0.544,876,796,29.9,31.2,42,24,83786666,0.599,0.574,0.586,0.466,0.512,5672,1580,342,32,196,580,952,82,32,73,54,748,4.6,9,10,41,4391,1544,210,508,969,77,138,0.98,2910386,0.648
0.621,0.576,755,638,32.1,28.6,46,21,82852167,0.59,0.556,0.599,0.531,0.546,5456,1440,281,29,180,593,980,53,37,40,39,595,3.73,7,10,43,4312,1349,136,546,1006,80,163,0.98,3264898,0.562
0.574,0.6,795,637,31.9,29.8,37,18,86959167,0.574,0.716,0.562,0.488,0.472,5561,1509,290,33,139,586,989,108,37,53,46,602,3.76,8,15,38,4323,1340,173,466,1001,65,159,0.98,3268509,0.389
0.395,0.408,678,831,28.5,27.8,51,27,45210000,0.407,0.488,0.469,0.457,0.605,5531,1442,257,32,128,565,1073,76,39,57,42,774,4.87,2,10,31,4294,1458,208,611,1091,102,141,0.98,2030084,0.537
0.463,0.472,753,801,29.7,28.3,46,23,54812429,0.447,0.383,0.426,0.484,0.426,5581,1492,275,45,163,529,1049,86,37,87,38,744,4.64,7,10,44,4333,1527,178,502,926,123,159,0.98,1636751,0.447
0.531,0.558,791,697,28.3,29,38,20,70780000,0.497,0.531,0.401,0.475,0.463,5543,1448,325,27,166,651,1155,72,29,55,38,648,4.04,9,13,33,4331,1386,142,536,1060,97,146,0.98,2259948,0.531
0.593,0.581,768,643,28.4,27.4,41,18,50260834,0.636,0.63,0.565,0.537,0.457,5497,1398,317,24,176,556,898,48,14,59,53,582,3.63,16,14,48,4325,1336,140,499,1018,107,145,0.98,2216596,0.562
0.623,0.592,877,716,30.5,33.6,49,23,152749814,0.64,0.594,0.54,0.605,0.704,5605,1518,304,14,230,684,1042,98,33,81,35,653,4.02,8,12,49,4386,1512,145,375,1119,114,126,0.98,3465600,0.623
0.41,0.427,642,754,29.3,31.6,50,25,116876429,0.466,0.506,0.58,0.595,0.543,5341,1317,262,24,124,489,1035,70,31,54,45,704,4.48,3,10,38,4240,1497,168,576,907,118,158,0.98,2140599,0.438
0.556,0.525,801,758,27.3,29.7,42,20,55505000,0.584,0.525,0.426,0.394,0.432,5655,1567,318,45,155,512,1027,94,44,63,52,716,4.41,7,8,45,4385,1526,187,402,997,87,114,0.98,1946011,0.568
0.42,0.409,714,873,29.8,27.6,42,23,40627000,0.346,0.42,0.451,0.46,0.457,5548,1423,266,24,196,547,1221,99,39,71,40,810,5.02,5,3,44,4356,1590,219,575,1034,114,142,0.98,1700354,0.416
0.525,0.515,574,556,29.9,31.2,44,19,105572620,0.568,0.531,0.531,0.475,0.512,5458,1328,260,25,124,407,985,80,36,72,28,511,3.16,3,17,58,4373,1254,127,526,1289,119,164,0.98,3138626,0.574
0.512,0.483,836,867,29.2,28,53,29,40518000,0.383,0.401,0.475,0.398,0.447,5568,1526,288,39,162,476,926,120,42,75,57,809,5.06,7,10,36,4316,1569,190,566,865,108,143,0.98,1779895,0.358
0.537,0.579,805,677,31.1,27.6,44,23,71040000,0.519,0.574,0.444,0.599,0.63,5583,1466,308,30,191,557,1021,66,30,81,38,622,3.86,1,5,50,4350,1350,161,565,1139,95,149,0.98,2454241,0.568
0.562,0.537,751,692,27.7,26.3,40,22,49450000,0.488,0.469,0.491,0.395,0.333,5490,1459,292,44,157,515,978,150,74,57,41,648,4.04,7,11,36,4336,1415,128,530,1132,78,162,0.98,1303215,0.512
0.265,0.305,591,928,27.2,25.3,43,20,49168000,0.342,0.407,0.488,0.429,0.401,5466,1312,201,39,153,443,1099,98,63,47,49,847,5.3,3,5,27,4316,1616,195,557,764,138,194,0.97,1368245,0.444
0.457,0.48,853,892,29.5,28,50,23,67179667,0.451,0.451,0.506,0.444,0.475,5518,1472,330,31,198,619,1134,63,37,52,38,821,5.2,3,4,34,4260,1629,200,552,866,116,165,0.98,2334085,0.42
0.42,0.451,699,778,27.1,26.3,54,29,48584834,0.457,0.562,0.556,0.599,0.549,5572,1413,296,26,158,466,1062,86,61,62,41,682,4.21,5,7,34,4378,1477,179,501,943,126,178,0.98,1730002,0.494
0.426,0.39,694,886,27.3,28,57,30,59355667,0.481,0.407,0.525,0.589,0.475,5509,1349,239,21,182,524,1326,80,34,79,32,818,5.09,4,5,38,4339,1578,209,590,932,141,152,0.97,2355259,0.469
0.531,0.546,791,715,29.3,27.9,40,20,51010000,0.5,0.512,0.586,0.466,0.494,5487,1445,303,19,220,519,916,77,29,58,41,663,4.17,12,4,36,4293,1364,162,518,1056,93,154,0.98,1939524,0.512
0.543,0.527,724,683,31.3,28.2,42,17,79868333,0.414,0.543,0.401,0.414,0.552,5519,1431,302,24,172,492,1158,73,31,50,46,619,3.83,13,14,36,4369,1304,143,617,1404,106,157,0.98,2962630,0.549
0.586,0.578,961,809,29.8,31.2,47,26,99946500,0.574,0.509,0.525,0.58,0.568,5769,1667,371,40,238,620,943,88,35,53,64,729,4.48,5,6,36,4394,1503,153,488,1141,113,130,0.98,2724165,0.605
0.438,0.455,743,820,29.3,29.2,42,20,73877500,0.414,0.391,0.457,0.481,0.488,5665,1516,277,24,152,431,902,89,36,54,40,767,4.76,9,3,41,4349,1579,198,526,981,105,164,0.98,2454523,0.481
0.623,0.592,907,740,30.3,31.1,34,17,106243667,0.631,0.543,0.586,0.636,0.654,5670,1608,321,31,235,545,933,68,22,49,49,663,4.1,4,7,51,4369,1425,147,555,992,121,166,0.98,2401084,0.593
0.519,0.521,717,685,30.6,29.2,43,22,80657000,0.605,0.568,0.525,0.617,0.401,5570,1467,303,47,152,531,1006,76,38,45,52,621,3.84,7,11,42,4365,1379,150,526,1291,107,132,0.98,2805542,0.315
0.475,0.496,736,743,29.1,29,43,19,79031667,0.611,0.463,0.506,0.432,0.525,5487,1473,276,33,150,476,838,129,61,56,50,680,4.28,5,9,39,4294,1444,190,486,980,105,138,0.98,3061094,0.568
0.512,0.511,735,718,28.2,27.7,43,20,38670500,0.42,0.414,0.42,0.401,0.481,5479,1432,300,36,162,575,1104,118,64,46,42,641,3.97,9,3,39,4359,1475,165,508,1088,139,160,0.97,812045,0.512
0.481,0.492,813,828,27.2,27.4,45,24,76864333,0.494,0.512,0.519,0.543,0.469,5581,1457,305,38,187,522,1142,71,18,53,57,767,4.8,6,6,41,4315,1504,177,590,991,107,159,0.98,1637900,0.531
0.444,0.479,843,882,29,29.7,51,27,105526122,0.451,0.438,0.586,0.543,0.475,5618,1510,304,27,230,554,1055,62,34,62,50,824,5.15,4,4,33,4319,1528,194,669,1030,99,152,0.98,2352397,0.438
0.342,0.362,673,918,27,26.9,43,22,34380000,0.383,0.429,0.426,0.389,,5604,1418,297,35,133,456,1115,102,45,58,36,846,5.29,12,3,25,4321,1567,215,620,925,126,168,0.97,1065742,0.389
0.599,0.588,787,648,29,30.2,44,26,74660875,0.574,0.586,0.466,0.512,0.451,5505,1475,285,26,175,542,927,86,42,67,49,595,3.7,4,9,42,4339,1355,141,547,1009,103,168,0.98,3011756,0.525
0.59,0.608,783,616,32.1,29.2,38,17,78299835,0.556,0.599,0.531,0.546,0.556,5497,1465,300,35,198,616,961,74,21,65,52,566,3.54,10,13,43,4312,1349,116,523,992,90,166,0.98,3253203,0.621
0.574,0.569,814,699,31.2,30.2,40,19,80282668,0.716,0.562,0.488,0.472,0.556,5569,1531,285,31,152,629,1003,137,58,51,72,654,4.07,8,12,43,4336,1422,178,441,1063,88,134,0.98,3542938,0.574
0.407,0.406,662,815,29.1,27.8,59,37,41425000,0.488,0.469,0.457,0.605,0.469,5515,1393,243,29,136,547,1062,71,44,30,41,737,4.62,5,10,40,4309,1522,177,582,1108,128,162,0.97,2220601,0.395
0.447,0.441,641,730,27.9,28.1,38,19,42323599,0.383,0.426,0.484,0.426,0.488,5330,1300,263,20,142,537,1109,86,49,73,41,664,4.23,2,7,47,4238,1447,163,572,920,115,177,0.98,1784988,0.463
0.497,0.491,710,724,27.5,28.5,39,20,57954999,0.531,0.401,0.475,0.463,0.42,5523,1428,325,41,165,640,1095,104,43,53,39,671,4.17,5,9,47,4349,1381,153,570,1075,88,156,0.98,1618467,0.531
0.636,0.591,800,654,28.6,27.4,41,17,40004167,0.63,0.565,0.537,0.457,0.401,5558,1450,279,28,205,609,1008,46,20,68,36,593,3.68,9,19,48,4356,1391,135,474,1021,102,144,0.98,2169811,0.593
0.64,0.613,897,697,30.1,33.1,38,17,125928583,0.594,0.54,0.605,0.704,0.593,5601,1540,314,12,223,640,1171,100,38,72,41,625,3.87,9,11,53,4356,1441,144,403,1135,127,117,0.97,3465807,0.623
0.466,0.491,690,703,30.6,30.3,48,25,94633593,0.506,0.58,0.595,0.543,0.543,5496,1409,238,22,160,486,1044,87,42,63,30,624,3.89,9,10,36,4328,1408,163,543,1107,144,138,0.97,2804838,0.41
0.584,0.535,768,712,26.8,28.8,42,19,40425000,0.525,0.426,0.394,0.432,0.42,5582,1518,348,36,167,472,1089,79,62,56,52,662,4.12,8,9,47,4334,1454,184,439,1026,74,124,0.98,1924473,0.556
0.346,0.379,627,821,29.9,26.8,49,25,50287833,0.42,0.451,0.46,0.457,0.484,5415,1369,269,29,139,500,1125,94,50,55,34,752,4.73,7,4,32,4297,1468,199,666,1026,103,154,0.98,1969153,0.42
0.568,0.547,713,643,30,31,41,19,94850953,0.531,0.531,0.475,0.512,0.543,5554,1464,286,29,155,428,940,96,37,53,44,598,3.69,4,15,56,4373,1311,165,555,1132,90,134,0.98,3131255,0.525
0.383,0.414,737,891,29.2,27.8,52,26,47257000,0.401,0.475,0.398,0.447,0.416,5535,1415,285,42,140,524,921,140,65,52,51,834,5.21,12,6,30,4323,1587,212,572,909,130,153,0.97,1323036,0.512
0.519,0.534,749,695,30.1,27.3,41,21,63448417,0.574,0.444,0.599,0.63,0.519,5503,1441,291,32,167,589,1120,71,27,59,37,643,4,2,11,43,4335,1423,151,546,1219,83,149,0.98,2517357,0.537
0.488,0.46,699,763,28.4,26.1,41,21,41979917,0.469,0.491,0.395,0.333,0.568,5496,1433,280,32,146,595,1130,177,73,61,49,706,4.36,11,12,36,4369,1449,151,631,1104,106,163,0.98,813118,0.562
0.342,0.322,575,864,28.1,28.1,57,30,55048000,0.407,0.488,0.429,0.401,0.488,5406,1340,265,37,124,363,1035,65,44,64,57,774,4.93,11,7,33,4242,1593,163,463,794,142,148,0.97,1503623,0.265
0.451,0.435,778,898,28.7,28.5,43,22,56851043,0.451,0.506,0.444,0.475,0.512,5512,1508,283,41,152,497,1043,103,53,56,50,825,5.2,1,8,43,4280,1554,225,582,920,112,158,0.98,2737838,0.457
0.457,0.443,739,837,30.3,28.1,59,31,78909449,0.562,0.556,0.599,0.549,0.534,5423,1349,255,26,192,542,1000,52,37,56,39,777,4.91,9,4,34,4274,1508,142,603,1058,113,161,0.98,2616940,0.42
0.481,0.46,709,774,27.7,28.7,43,21,45050390,0.407,0.525,0.589,0.475,0.469,5470,1386,297,21,169,583,1188,116,52,66,40,690,4.27,2,8,42,4361,1502,173,550,980,120,169,0.98,1855787,0.426
0.5,0.532,856,798,28.8,25.8,35,16,57052833,0.512,0.586,0.466,0.494,0.497,5502,1475,289,29,217,555,952,75,31,49,53,716,4.53,7,7,35,4269,1422,190,528,945,97,157,0.98,1676911,0.531
0.414,0.467,706,759,30.2,27.6,44,22,75690833,0.543,0.401,0.414,0.552,0.42,5496,1351,259,29,200,585,1269,63,21,44,39,687,4.29,11,9,23,4324,1373,167,606,1333,114,144,0.98,2693096,0.543
0.574,0.615,859,665,30,31,39,18,108366060,0.509,0.525,0.58,0.568,0.481,5640,1560,348,33,177,545,944,80,28,72,53,603,3.75,5,17,51,4338,1339,146,430,1157,104,140,0.98,2650862,0.586
0.414,0.433,667,773,29.2,27.8,46,20,60493487,0.391,0.457,0.481,0.488,0.605,5491,1353,311,27,165,452,993,110,48,64,49,719,4.46,8,3,31,4352,1491,208,549,967,91,173,0.98,2682439,0.438
0.631,0.602,708,565,30.6,31.1,38,20,92870367,0.543,0.586,0.636,0.654,0.623,5495,1428,280,25,164,558,1028,76,39,54,49,511,3.13,3,15,57,4402,1302,123,554,1058,114,170,0.98,2603484,0.623
0.605,0.588,819,674,31.7,31.7,42,20,102819999,0.568,0.525,0.617,0.401,,5508,1471,283,41,165,643,1016,92,46,50,53,630,3.92,14,10,40,4340,1361,170,421,1303,89,116,0.98,3198977,0.519
